,onset,offset,story,word,lemma,PoS_tag_full
2109,233.859999,234.439999,forgot,favorite,favorite,NN
2110,235.31,235.55,forgot,if,if,IN
2111,235.55,235.76,forgot,that,that,IN
2112,235.76,235.95,forgot,does,do,VBZ
2113,235.95,236.08,forgot,not,not,RB
2114,236.09,236.24,forgot,give,give,VB
2115,236.24,236.36,forgot,it,it,PRP
2116,236.36,236.43,forgot,to,to,TO
2117,236.43,236.57,forgot,me,me,PRP
2118,236.57,236.69,forgot,i,I,PRP
2119,236.92,237.54,forgot,circle,circle,NN
2120,237.54,237.73,forgot,the,the,DT
2121,237.73,238.16,forgot,idea,idea,NN
2122,238.19,238.56,forgot,little,little,JJ
2123,239.01,239.36,forgot,green,green,JJ
2124,239.36,239.82,forgot,men,men,NNS
2125,239.86,240.0,forgot,i,I,PRP
2126,240.0,240.27,forgot,think,think,NN
2127,240.46,240.6,forgot,or,or,CC
2128,240.6,241.04,forgot,tall,tall,NN
2129,241.05,241.47,forgot,dark,dark,NN
2130,241.47,242.03,forgot,skinned,skin,VBN
2131,242.04,242.6,forgot,gentle,gentle,NN
2132,242.91,243.28,forgot,dark,dark,NN
2133,243.309999,243.479999,forgot,they,they,PRP
2134,243.48,243.76,forgot,were,be,VBD
2135,243.76,243.95,forgot,and,and,CC
2136,243.95,244.36,forgot,golden,golden,JJ
2137,244.36,244.68,forgot,eyed,eye,NN
2138,244.71,244.93,forgot,and,and,CC
2139,244.929999,245.469999,forgot,suddenly,suddenly,RB
2140,245.469999,245.599999,forgot,the,the,DT
2141,245.599999,245.969999,forgot,word,word,NN
2142,246.469999,247.279999,forgot,martians,Martians,NNS
2143,247.799999,247.969999,forgot,is,be,VBZ
2144,247.969999,248.339999,forgot,waiting,wait,VBG
2145,248.34,248.52,forgot,for,for,IN
2146,248.52,248.72,forgot,me,me,PRP
2147,249.13,249.31,forgot,like,like,IN
2148,249.309999,249.369999,forgot,a,a,DT
2149,249.37,249.74,forgot,friend,friend,NN
2150,249.74,249.86,forgot,or,or,CC
2151,249.86,249.92,forgot,a,a,DT
2152,249.92,250.36,forgot,lover,lover,NN
2153,250.440001,250.590001,forgot,at,at,IN
2154,250.59,250.69,forgot,the,the,DT
2155,250.690001,250.830001,forgot,end,end,NN
2156,250.83,250.92,forgot,of,of,IN
2157,250.92,250.97000000000003,forgot,a,a,DT
2158,250.969999,251.199999,forgot,long,long,RB
2159,251.199999,251.609999,forgot,day,day,NN
2160,253.289999,253.449999,forgot,i,I,PRP
2161,253.45,253.63,forgot,left,leave,NN
2162,253.67,253.85,forgot,that,that,IN
2163,253.85,254.16,forgot,house,house,NN
2164,254.16,254.28,forgot,when,when,WRB
2165,254.28,254.43,forgot,my,my,PRP$
2166,254.43,254.82,forgot,radio,radio,NN
2167,254.82,255.27,forgot,went,go,VBD
2168,255.76,255.89,forgot,it,it,PRP
2169,255.89,256.03,forgot,was,be,VBD
2170,256.03,256.22,forgot,too,too,RB
2171,256.22,256.71000000000004,forgot,wearing,wear,VBG
2172,256.97,257.09000000000003,forgot,the,the,DT
2173,257.09,257.5,forgot,slow,slow,VB
2174,257.5,258.12,forgot,disappearance,disappearance,NN
2175,258.12,258.24,forgot,of,of,IN
2176,258.24,258.35,forgot,the,the,DT
2177,258.36,258.81,forgot,things,things,NNS
2178,259.12,259.22,forgot,i,I,PRP
2179,259.22,259.37,forgot,had,have,VBD
2180,259.4,259.66,forgot,thought,think,NN
2181,259.68,259.88,forgot,so,so,RB
2182,259.88,260.43,forgot,safely,safely,RB
2183,260.44,260.89,forgot,mine,mine,NN
2184,260.929999,261.319999,forgot,item,item,NN
2185,261.32,261.5,forgot,by,by,IN
2186,261.54,262.06,forgot,item,item,NN
2187,262.55,262.8,forgot,thing,thing,NN
2188,262.8,262.98,forgot,by,by,IN
2189,263.0,263.41,forgot,thing,thing,NN
2190,263.92,264.32,forgot,object,object,NN
2191,264.32,264.5,forgot,by,by,IN
2192,264.5,265.17,forgot,object,object,NN
2193,266.04,266.39000000000004,forgot,word,word,NN
2194,266.429999,266.609999,forgot,by,by,IN
2195,266.61,267.09000000000003,forgot,word,word,NN
2196,269.41,269.58000000000004,forgot,when,when,WRB
2197,269.58,269.64,forgot,i,I,PRP
2198,269.639999,269.819999,forgot,was,be,VBD
2199,269.85,270.3,forgot,12,,
2200,271.52,271.61,forgot,i,I,PRP
2201,271.61,271.77000000000004,forgot,was,be,VBD
2202,271.77,272.01,forgot,told,tell,NN
2203,272.01,272.06,forgot,a,a,DT
2204,272.06,272.7,forgot,story,story,NN
2205,273.03,273.2,forgot,by,by,IN
2206,273.2,273.27,forgot,an,an,DT
2207,273.27,273.47,forgot,old,old,JJ
2208,273.47,273.91,forgot,man,man,NN
2209,274.54,274.69,forgot,that,that,IN
2210,274.69,274.81,forgot,i've,I've,NN
2211,274.81,275.09,forgot,never,never,RB
2212,275.09,275.66,forgot,forgotten,forget,NNS
2213,277.59,277.72,forgot,a,a,DT
2214,277.72,278.12,forgot,poor,poor,JJ
2215,278.16,278.54,forgot,man,man,NN
2216,278.55,278.87,forgot,found,find,NN
2217,278.87,279.47,forgot,himself,himself,PRP
2218,279.54,279.67,forgot,in,in,IN
2219,279.67,279.73,forgot,a,a,DT
2220,279.73,280.45000000000005,forgot,forest,forest,NN
2221,280.639999,280.809999,forgot,as,as,IN
2222,280.82,281.11,forgot,night,night,NN
2223,281.11,281.47,forgot,fell,fell,VBD
2224,282.09,282.26,forgot,and,and,CC
2225,282.259999,282.369999,forgot,he,he,PRP
2226,282.38,282.57,forgot,had,have,VBD
2227,282.57,282.83,forgot,no,no,DT
2228,282.86,283.16,forgot,prayer,prayer,NN
2229,283.16,283.46000000000004,forgot,book,book,NN
2230,283.509999,283.649999,forgot,to,to,TO
2231,283.65,283.89,forgot,say,say,VB
2232,283.889999,284.079999,forgot,his,his,PRP$
2233,284.08,284.42,forgot,evening,even,VBG
